service_id,date,exception_type
308846,20241231,1
308152,20241231,1
340946,20241231,1
336011,20241231,1
341352,20241231,1
340540,20241231,1
366922,20241231,1
34011,20241231,1
40,20250101,2
46,20250101,2
49,20250101,1
308849,20250101,1
43,20250101,1
55,20250101,1
28,20250101,2
31,20250101,1
13,20250101,1
10,20250101,2
308155,20250101,1
16,20250101,2
26,20250101,1
22,20250101,2
68,20250101,1
52,20250101,2
341352,20250102,1
340540,20250102,1
308152,20250102,1
10,20250102,2
11,20250102,1
336011,20250102,1
34011,20250102,1
308846,20250102,1
340946,20250102,1
340540,20250103,1
308846,20250103,1
308152,20250103,1
340946,20250103,1
34111,20250103,1
336011,20250103,1
11,20250103,1
10,20250103,2
341352,20250103,1
308055,20250105,1
308749,20250105,1
308746,20250106,1
341046,20250106,1
341252,20250106,1
336110,20250106,1
65110,20250106,1
341510,20250106,1
34010,20250106,1
340640,20250106,1
308052,20250106,1
33610,20250106,1
341610,20250107,1
341352,20250107,1
308052,20250107,1
340946,20250107,1
308746,20250107,1
336010,20250107,1
65110,20250107,1
33610,20250107,1
366922,20250107,1
340540,20250107,1
34010,20250107,1
341510,20250108,1
336010,20250108,1
65010,20250108,1
308846,20250108,1
340946,20250108,1
34010,20250108,1
33710,20250108,1
308152,20250108,1
341352,20250108,1
340540,20250108,1
65110,20250109,1
336010,20250109,1
340946,20250109,1
308846,20250109,1
340540,20250109,1
341352,20250109,1
33610,20250109,1
34010,20250109,1
308152,20250109,1
341510,20250109,1
308152,20250110,1
33610,20250110,1
341352,20250110,1
65010,20250110,1
340946,20250110,1
341510,20250110,1
340540,20250110,1
308846,20250110,1
34110,20250110,1
336010,20250110,1
308055,20250112,1
308749,20250112,1
308052,20250113,1
340640,20250113,1
33610,20250113,1
34010,20250113,1
65110,20250113,1
336110,20250113,1
341510,20250113,1
341252,20250113,1
308746,20250113,1
341046,20250113,1
308052,20250114,1
308746,20250114,1
366922,20250114,1
341352,20250114,1
340540,20250114,1
341610,20250114,1
340946,20250114,1
336010,20250114,1
34010,20250114,1
65110,20250114,1
33610,20250114,1
33710,20250115,1
34010,20250115,1
65010,20250115,1
336010,20250115,1
341510,20250115,1
308152,20250115,1
340540,20250115,1
341352,20250115,1
340946,20250115,1
308846,20250115,1
340540,20250116,1
340946,20250116,1
308846,20250116,1
33610,20250116,1
34010,20250116,1
336010,20250116,1
65110,20250116,1
308152,20250116,1
341510,20250116,1
341352,20250116,1
34110,20250117,1
65010,20250117,1
340540,20250117,1
308152,20250117,1
341352,20250117,1
308846,20250117,1
340946,20250117,1
341510,20250117,1
336010,20250117,1
33610,20250117,1
308155,20250119,1
308849,20250119,1
340640,20250120,1
308846,20250120,1
336111,20250120,1
341352,20250120,1
34011,20250120,1
308152,20250120,1
10,20250120,2
340946,20250120,1
11,20250120,1
308846,20250121,1
340540,20250121,1
33610,20250121,1
341352,20250121,1
308152,20250121,1
341610,20250121,1
366922,20250121,1
340946,20250121,1
34010,20250121,1
65110,20250121,1
336010,20250121,1
34010,20250122,1
33710,20250122,1
65010,20250122,1
341510,20250122,1
340540,20250122,1
340946,20250122,1
308846,20250122,1
341352,20250122,1
336010,20250122,1
308152,20250122,1
341352,20250123,1
336010,20250123,1
65110,20250123,1
340540,20250123,1
34010,20250123,1
33610,20250123,1
308846,20250123,1
340946,20250123,1
341510,20250123,1
308152,20250123,1
341510,20250124,1
336010,20250124,1
65010,20250124,1
340946,20250124,1
34110,20250124,1
341352,20250124,1
308152,20250124,1
308846,20250124,1
340540,20250124,1
33610,20250124,1
308055,20250126,1
308749,20250126,1
340640,20250127,1
308746,20250127,1
34010,20250127,1
65110,20250127,1
336110,20250127,1
341510,20250127,1
308052,20250127,1
341252,20250127,1
33610,20250127,1
341046,20250127,1
340946,20250128,1
341352,20250128,1
340540,20250128,1
366922,20250128,1
308746,20250128,1
336010,20250128,1
65110,20250128,1
34010,20250128,1
33610,20250128,1
341610,20250128,1
308052,20250128,1
340540,20250129,1
340946,20250129,1
308152,20250129,1
341510,20250129,1
336010,20250129,1
65010,20250129,1
34010,20250129,1
33710,20250129,1
